policy_id,claim_id,accident_date,accident_year,development_year,claim_amount
24.0,1,2025-06-06,2025,0,521910.0
32.0,2,2019-10-24,2019,1,92636.0
46.0,3,2024-11-12,2024,1,28492.0
55.0,4,2022-05-28,2022,3,17377.0
55.0,5,2021-09-14,2021,0,13725.0
68.0,6,2018-10-28,2018,5,47386.0
99.0,7,2019-10-24,2019,5,20354.0
108.0,8,2021-06-25,2021,2,194178.0
109.0,9,2023-12-02,2023,2,146694.0
112.0,10,2022-04-07,2022,2,23775.0
117.0,11,2019-03-07,2019,3,66236.0
145.0,12,2020-04-07,2020,4,82003.0
147.0,13,2019-01-14,2019,5,65246.0
158.0,14,2025-01-11,2025,0,41888.0
175.0,15,2019-03-25,2019,2,74371.0
177.0,16,2021-08-13,2021,2,196526.0
190.0,17,2025-06-11,2025,0,32844.0
209.0,18,2021-06-23,2021,2,54522.0
231.0,19,2023-09-04,2023,1,378888.0
251.0,20,2019-06-25,2019,2,101074.0
274.0,21,2018-10-22,2018,0,49658.0
283.0,22,2022-02-18,2022,0,44953.0
284.0,23,2022-10-17,2022,0,369186.0
302.0,24,2020-06-14,2020,5,159902.0
303.0,25,2022-04-30,2022,3,159590.0
303.0,26,2022-02-10,2022,3,87713.0
306.0,27,2022-11-28,2022,2,198627.0
321.0,28,2019-12-07,2019,3,13047.0
342.0,29,2025-03-07,2025,0,71829.0
344.0,30,2019-01-01,2019,1,145246.0
360.0,31,2022-04-02,2022,3,25774.0
365.0,32,2020-08-11,2020,2,22168.0
372.0,33,2024-01-12,2024,1,133747.0
389.0,34,2023-10-19,2023,1,240140.0
390.0,35,2024-03-06,2024,0,71275.0
397.0,36,2020-06-13,2020,2,195927.0
413.0,37,2020-06-05,2020,1,31669.0
424.0,38,2023-02-04,2023,0,17450.0
427.0,39,2024-05-21,2024,1,92817.0
448.0,40,2018-08-18,2018,4,22168.0
475.0,41,2020-06-24,2020,1,16609.0
496.0,42,2023-03-19,2023,0,14648.0
503.0,43,2020-07-10,2020,3,130902.0
524.0,44,2022-04-11,2022,3,101384.0
580.0,45,2024-03-27,2024,1,311550.0
590.0,46,2023-01-22,2023,1,87321.0
596.0,47,2021-03-15,2021,2,119116.0
613.0,48,2021-09-15,2021,3,18375.0
617.0,49,2021-01-03,2021,3,32826.0
645.0,50,2021-09-26,2021,1,584046.0
651.0,51,2023-08-28,2023,1,133934.0
660.0,52,2025-04-24,2025,0,220233.0
671.0,53,2019-04-22,2019,6,79065.0
683.0,54,2025-04-30,2025,0,22957.0
691.0,55,2022-08-17,2022,2,20149.0
701.0,56,2023-05-12,2023,1,452752.0
709.0,57,2018-12-28,2018,3,364680.0
725.0,58,2023-10-19,2023,0,56523.0
728.0,59,2024-05-04,2024,1,14555.0
740.0,60,2019-12-09,2019,1,72012.0
746.0,61,2020-12-21,2020,1,49907.0
760.0,62,2025-04-06,2025,0,126069.0
780.0,63,2021-09-19,2021,4,90620.0
792.0,64,2024-11-24,2024,0,134546.0
823.0,65,2024-01-02,2024,1,246216.0
824.0,66,2024-04-18,2024,1,6729.0
856.0,67,2021-07-06,2021,3,186955.0
858.0,68,2019-05-27,2019,3,22617.0
860.0,69,2023-07-17,2023,2,30868.0
874.0,70,2018-11-11,2018,5,40768.0
886.0,71,2018-04-28,2018,1,196298.0
887.0,72,2018-05-25,2018,2,52396.0
889.0,73,2024-10-17,2024,0,7139.0
915.0,74,2022-06-10,2022,3,423512.0
926.0,75,2021-02-05,2021,3,32606.0
930.0,76,2018-11-07,2018,3,278264.0
934.0,77,2020-08-09,2020,1,30640.0
943.0,78,2025-07-29,2025,0,120422.0
944.0,79,2021-04-17,2021,0,73797.0
949.0,80,2025-01-01,2025,0,27135.0
955.0,81,2020-04-11,2020,0,23015.0
973.0,82,2023-12-15,2023,1,61390.0
