policy_id,claim_id,exposure,claim_count,vehicle_age,region,channel,sum_insured,policy_year
24,1.0,0.9664613278576316,1,9,South,Direct,579900,2024
32,2.0,1.0,1,2,Central,Online,2658400,2019
46,3.0,1.0,1,10,East,Agent,836800,2024
55,4.0,0.9336071184120466,2,5,West,Online,270800,2021
55,5.0,0.9336071184120466,2,5,West,Online,270800,2021
68,6.0,1.0,1,4,North,Agent,341400,2018
99,7.0,0.9390828199863108,1,6,South,Broker,384400,2018
108,8.0,0.8596851471594799,1,14,East,Agent,825400,2021
109,9.0,1.0,1,2,West,Broker,1071200,2022
112,10.0,0.8870636550308009,1,5,West,Agent,1008400,2021
117,11.0,1.0,1,12,South,Agent,411800,2018
145,12.0,0.8678986995208761,1,4,South,Online,713100,2019
147,13.0,1.0,1,14,North,Online,1063200,2018
158,14.0,0.8569472963723477,1,5,East,Direct,612400,2024
175,15.0,1.0,1,8,East,Online,687300,2019
177,16.0,1.0,1,1,South,Agent,609700,2021
190,17.0,0.9062286105407256,1,14,South,Online,794400,2024
209,18.0,1.0,1,12,North,Bancassurance,559300,2021
231,19.0,1.0,1,7,East,Agent,532100,2023
251,20.0,1.0,1,11,East,Agent,702500,2019
274,21.0,0.9527720739219712,1,6,East,Direct,159500,2018
283,22.0,1.0,1,11,South,Agent,1117300,2022
284,23.0,1.0,1,15,Central,Direct,2999700,2021
302,24.0,0.919917864476386,1,12,West,Online,1245900,2020
303,25.0,0.8514715947980835,2,1,West,Online,667900,2021
303,26.0,0.8514715947980835,2,1,West,Online,667900,2021
306,27.0,0.9664613278576316,1,13,North,Online,2935700,2022
321,28.0,1.0,1,2,South,Online,403600,2019
342,29.0,0.8733744010951403,1,6,South,Agent,439800,2024
360,31.0,0.9336071184120466,1,9,South,Direct,322100,2021
365,32.0,1.0,1,11,East,Online,3852600,2020
372,33.0,0.971937029431896,1,4,Central,Online,510800,2023
389,34.0,1.0,1,4,South,Agent,975700,2023
390,35.0,1.0,1,13,North,Agent,940200,2024
397,36.0,1.0,1,2,East,Agent,823000,2020
413,37.0,0.840520191649555,1,9,South,Agent,502700,2020
424,38.0,1.0,1,9,East,Agent,479000,2023
427,39.0,1.0,1,12,North,Agent,822400,2023
448,40.0,1.0,1,1,East,Agent,305800,2018
475,41.0,1.0,1,8,South,Agent,88600,2020
496,42.0,1.0,1,2,West,Broker,1544000,2022
503,43.0,0.9500342231348392,1,8,North,Broker,601400,2019
524,44.0,1.0,1,13,West,Agent,847000,2022
580,45.0,0.999315537303217,1,5,East,Agent,1159200,2023
590,46.0,0.8980150581793293,1,11,Central,Broker,1188000,2022
596,47.0,1.0,1,13,East,Broker,1278800,2020
613,48.0,1.0,1,12,South,Broker,1118100,2020
617,49.0,0.9555099247091032,1,2,South,Bancassurance,849000,2020
645,50.0,0.8761122518822724,1,3,West,Bancassurance,1007600,2021
651,51.0,1.0,1,7,East,Agent,1881800,2023
660,52.0,0.8870636550308009,1,4,South,Broker,619800,2024
671,53.0,0.8843258042436687,1,12,North,Broker,409800,2018
683,54.0,0.969199178644764,1,15,West,Bancassurance,527800,2024
691,55.0,0.8240930869267625,1,15,South,Bancassurance,568300,2022
701,56.0,0.919917864476386,1,13,Central,Online,1840600,2023
709,57.0,0.9582477754962354,1,11,East,Online,405200,2018
725,58.0,0.9801505817932924,1,12,West,Agent,280700,2023
728,59.0,0.9363449691991786,1,3,East,Agent,696700,2024
740,60.0,1.0,1,1,West,Agent,1108300,2019
746,61.0,0.8815879534565366,1,13,North,Direct,467300,2020
760,62.0,1.0,1,12,Central,Bancassurance,935700,2024
780,63.0,0.8323066392881588,1,5,North,Online,564600,2021
792,64.0,1.0,1,11,East,Agent,1332600,2024
823,65.0,0.919917864476386,1,10,North,Agent,490600,2023
824,66.0,1.0,1,6,Central,Bancassurance,320800,2023
856,67.0,1.0,1,8,East,Agent,952900,2021
858,68.0,1.0,1,3,South,Direct,609800,2018
860,69.0,0.9336071184120466,1,11,North,Broker,255400,2022
874,70.0,0.9062286105407256,1,6,North,Online,605400,2018
886,71.0,0.9801505817932924,1,4,North,Direct,1417300,2018
887,72.0,0.922655715263518,1,11,Central,Online,1050400,2018
889,73.0,0.9582477754962354,1,1,North,Agent,577900,2024
915,74.0,0.9856262833675564,1,5,East,Direct,3671600,2021
926,75.0,0.974674880219028,1,1,South,Direct,593600,2020
930,76.0,0.9938398357289528,1,6,East,Broker,1017900,2018
934,77.0,0.8980150581793293,1,3,East,Agent,261000,2019
943,78.0,0.8898015058179329,1,5,Central,Direct,744000,2024
944,79.0,0.8542094455852156,1,6,East,Online,521900,2020
949,80.0,0.971937029431896,1,2,South,Agent,228000,2024
955,81.0,1.0,1,12,West,Broker,261500,2020
973,82.0,0.865160848733744,1,4,Central,Agent,633900,2023
977,83.0,1.0,1,13,North,Broker,2221000,2021
993,84.0,1.0,1,13,East,Broker,552600,2021
994,85.0,1.0,1,6,East,Online,979900,2019
1002,86.0,0.9527720739219712,1,7,South,Agent,377600,2018
1023,87.0,0.8624229979466119,1,7,East,Agent,399500,2023
1033,88.0,0.8678986995208761,1,10,South,Agent,1169000,2021
1044,89.0,0.8733744010951403,1,10,Central,Agent,976100,2022
1072,90.0,1.0,1,8,Central,Direct,586900,2021
1076,91.0,0.999315537303217,1,11,East,Online,893800,2018
1095,92.0,1.0,1,1,North,Agent,631700,2021
1111,93.0,1.0,1,3,West,Bancassurance,782000,2022
1114,94.0,0.944558521560575,2,14,East,Broker,992000,2022
1114,95.0,0.944558521560575,2,14,East,Broker,992000,2022
1118,96.0,0.9828884325804244,1,3,West,Online,732600,2023
1122,97.0,0.8459958932238193,1,15,South,Online,573400,2024
1132,98.0,1.0,1,15,South,Online,1032500,2021
1134,99.0,1.0,1,13,North,Bancassurance,767200,2020
1163,100.0,0.9883641341546886,1,8,West,Broker,763900,2021
1171,101.0,0.9034907597535934,1,10,South,Agent,878300,2019
1183,102.0,0.9911019849418208,1,2,East,Direct,540100,2023
1189,103.0,0.8240930869267625,1,2,West,Agent,473800,2024
1223,104.0,0.9774127310061602,1,2,North,Broker,524600,2021
1225,105.0,0.9883641341546886,1,6,North,Direct,357100,2024
1235,106.0,0.9117043121149896,1,9,East,Online,420100,2018
1272,107.0,0.8733744010951403,1,7,North,Direct,1028900,2018
1287,108.0,0.8596851471594799,1,8,West,Agent,127800,2020
1301,109.0,0.9418206707734428,1,9,South,Agent,2067500,2021
1319,110.0,0.9336071184120466,1,10,Central,Agent,669200,2018
1326,111.0,0.947296372347707,2,4,West,Agent,927200,2023
1326,112.0,0.947296372347707,2,4,West,Agent,927200,2023
1330,113.0,0.9390828199863108,1,3,Central,Broker,310700,2021
1334,114.0,1.0,1,4,East,Agent,1539600,2018
1357,115.0,1.0,1,13,West,Direct,1619100,2024
1358,116.0,0.9390828199863108,1,12,East,Agent,527200,2019
1363,117.0,1.0,1,3,West,Agent,271900,2021
1367,118.0,1.0,1,6,East,Broker,354000,2020
1370,119.0,0.9308692676249144,1,8,North,Agent,646900,2023
1371,120.0,1.0,1,7,West,Direct,1178800,2019
1377,121.0,1.0,1,3,Central,Bancassurance,532300,2023
1382,122.0,0.9034907597535934,1,8,West,Agent,697000,2019
1385,123.0,0.8843258042436687,1,7,South,Agent,865600,2018
1389,124.0,0.8761122518822724,1,8,Central,Direct,981600,2019
1390,125.0,0.9828884325804244,2,11,South,Direct,396100,2023
1390,126.0,0.9828884325804244,2,11,South,Direct,396100,2023
1403,127.0,1.0,1,8,North,Agent,437600,2022
1448,128.0,0.919917864476386,1,13,East,Online,611500,2022
1472,129.0,1.0,1,2,West,Agent,392900,2023
1479,130.0,1.0,1,3,South,Direct,816800,2022
1498,131.0,0.8733744010951403,1,1,West,Agent,1816400,2019
1501,132.0,0.8678986995208761,1,15,North,Agent,1238900,2020
1506,133.0,0.9582477754962354,1,8,South,Bancassurance,567900,2018
1515,134.0,0.922655715263518,1,14,West,Bancassurance,582500,2021
1538,135.0,0.9828884325804244,1,13,South,Agent,148100,2021
1539,136.0,1.0,1,5,East,Direct,482700,2021
1545,137.0,0.9609856262833676,1,14,East,Online,1080000,2020
1548,138.0,0.8898015058179329,1,2,West,Agent,1707000,2019
1556,139.0,1.0,1,2,South,Direct,1052200,2021
1563,140.0,1.0,1,10,North,Online,786200,2018
1609,141.0,0.8898015058179329,1,7,East,Agent,655600,2019
1611,142.0,0.8898015058179329,1,4,North,Agent,666400,2019
