policy_id,claim_id,exposure,claim_count,vehicle_age,region,channel,sum_insured,policy_year,predicted_frequency
24,1.0,0.9664613278576316,1,9,South,Direct,579900,2024,1.168270167117027
32,2.0,1.0,1,2,Central,Online,2658400,2019,1.152252764210896
46,3.0,1.0,1,10,East,Agent,836800,2024,1.1643144903882543
55,4.0,0.9336071184120466,2,5,West,Online,270800,2021,1.1552219989081847
55,5.0,0.9336071184120466,2,5,West,Online,270800,2021,1.1552219989081847
68,6.0,1.0,1,4,North,Agent,341400,2018,1.158139377931547
99,7.0,0.9390828199863108,1,6,South,Broker,384400,2018,1.1640119890926197
108,8.0,0.8596851471594799,1,14,East,Agent,825400,2021,1.168587982723948
109,9.0,1.0,1,2,West,Broker,1071200,2022,1.1539093716992452
112,10.0,0.8870636550308009,1,5,West,Agent,1008400,2021,1.154495679270271
117,11.0,1.0,1,12,South,Agent,411800,2018,1.1677256673497745
145,12.0,0.8678986995208761,1,4,South,Online,713100,2019,1.1590899722605683
147,13.0,1.0,1,14,North,Online,1063200,2018,1.1682911565637046
158,14.0,0.8569472963723477,1,5,East,Direct,612400,2024,1.1630556377158947
175,15.0,1.0,1,8,East,Online,687300,2019,1.162432036329016
177,16.0,1.0,1,1,South,Agent,609700,2021,1.1558825297535982
190,17.0,0.9062286105407256,1,14,South,Online,794400,2024,1.16966349945586
209,18.0,1.0,1,12,North,Bancassurance,559300,2021,1.176737769724696
231,19.0,1.0,1,7,East,Agent,532100,2023,1.1613789526521425
251,20.0,1.0,1,11,East,Agent,702500,2019,1.1654906086844794
274,21.0,0.9527720739219712,1,6,East,Direct,159500,2018,1.1644949429989873
283,22.0,1.0,1,11,South,Agent,1117300,2022,1.1660723678094842
284,23.0,1.0,1,15,Central,Direct,2999700,2021,1.1695051997001338
302,24.0,0.919917864476386,1,12,West,Online,1245900,2020,1.1618279675704355
303,25.0,0.8514715947980835,2,1,West,Online,667900,2021,1.1506809481139155
303,26.0,0.8514715947980835,2,1,West,Online,667900,2021,1.1506809481139155
306,27.0,0.9664613278576316,1,13,North,Online,2935700,2022,1.1656668824151806
321,28.0,1.0,1,2,South,Online,403600,2019,1.1572286560111882
342,29.0,0.8733744010951403,1,6,South,Agent,439800,2024,1.1613169947302862
360,31.0,0.9336071184120466,1,9,South,Direct,322100,2021,1.16848489564488
365,32.0,1.0,1,11,East,Online,3852600,2020,1.1629961198358227
372,33.0,0.971937029431896,1,4,Central,Online,510800,2023,1.1561294345860202
389,34.0,1.0,1,4,South,Agent,975700,2023,1.1587535356114627
390,35.0,1.0,1,13,North,Agent,940200,2024,1.1672059712687481
397,36.0,1.0,1,2,East,Agent,823000,2020,1.1558444903951481
413,37.0,0.840520191649555,1,9,South,Agent,502700,2020,1.1644530837746103
424,38.0,1.0,1,9,East,Agent,479000,2023,1.1635476762401187
427,39.0,1.0,1,12,North,Agent,822400,2023,1.1662376994100139
448,40.0,1.0,1,1,East,Agent,305800,2018,1.15521451985945
475,41.0,1.0,1,8,South,Agent,88600,2020,1.1637328847740245
496,42.0,1.0,1,2,West,Broker,1544000,2022,1.1535205060168572
503,43.0,0.9500342231348392,1,8,North,Broker,601400,2019,1.1648162876508816
524,44.0,1.0,1,13,West,Agent,847000,2022,1.1631010558873174
580,45.0,0.999315537303217,1,5,East,Agent,1159200,2023,1.158740017986097
590,46.0,0.8980150581793293,1,11,Central,Broker,1188000,2022,1.165520217728183
596,47.0,1.0,1,13,East,Broker,1278800,2020,1.1698055158744107
613,48.0,1.0,1,12,South,Broker,1118100,2020,1.1698001485789842
