accident_year,development_year,paid_amount,case_reserve
2025,0.0,74263,447647
2025,0.0,70403,377244
2025,0.0,99,377145
2025,0.0,26016,351129
2019,1.0,31381,61255
2019,1.0,5915,55340
2019,1.0,32613,22727
2019,1.0,16060,6667
2019,1.0,6667,0
2024,1.0,8958,19534
2024,1.0,11312,8222
2024,1.0,5978,2244
2024,1.0,1832,412
2024,1.0,412,0
2022,3.0,1458,15919
2022,3.0,1457,14462
2022,3.0,1077,13385
2021,0.0,2061,11664
2021,0.0,5920,5744
2021,0.0,5744,0
2018,5.0,7311,40075
2018,5.0,19826,20249
2018,5.0,10449,9800
2018,5.0,9800,0
2019,5.0,20354,0
2021,2.0,79833,114345
2021,2.0,44888,69457
2021,2.0,29089,40368
2021,2.0,26597,13771
2021,2.0,13771,0
2023,2.0,34836,111858
2023,2.0,102569,9289
2023,2.0,9289,0
2022,2.0,8890,14885
2022,2.0,13093,1792
2022,2.0,1792,0
2019,3.0,7318,58918
2019,3.0,13388,45530
2019,3.0,17890,27640
2019,3.0,12239,15401
2019,3.0,3787,11614
2019,3.0,11614,0
2020,4.0,565,81438
2020,4.0,16534,64904
2020,4.0,24088,40816
2020,4.0,3936,36880
2020,4.0,31166,5714
2020,4.0,5714,0
2019,5.0,4731,60515
2019,5.0,332,60183
2019,5.0,8404,51779
2019,5.0,4950,46829
2025,0.0,3725,38163
2025,0.0,15406,22757
2019,2.0,1675,72696
2019,2.0,28201,44495
2019,2.0,13918,30577
2019,2.0,9403,21174
2019,2.0,21174,0
2021,2.0,16062,180464
2021,2.0,92885,87579
2021,2.0,3596,83983
2021,2.0,25527,58456
2025,0.0,1216,31628
2025,0.0,1059,30569
2025,0.0,740,29829
2025,0.0,5706,24123
2021,2.0,5557,48965
2021,2.0,4007,44958
2021,2.0,2532,42426
2023,1.0,162017,216871
2023,1.0,95005,121866
2019,2.0,12400,88674
2019,2.0,42172,46502
2019,2.0,25294,21208
2019,2.0,21208,0
2018,0.0,29495,20163
2018,0.0,6033,14130
2018,0.0,14130,0
2022,0.0,5442,39511
2022,0.0,1431,38080
2022,0.0,1257,36823
2022,0.0,1740,35083
2022,0.0,5683,29400
2022,0.0,25313,343873
2022,0.0,215767,128106
2022,0.0,29078,99028
2022,0.0,40001,59027
2022,0.0,59027,0
2020,5.0,159902,0
2022,3.0,36840,122750
2022,3.0,7878,114872
2022,3.0,52002,62870
2022,3.0,87713,0
2022,2.0,28294,170333
2022,2.0,71681,98652
2022,2.0,23218,75434
2019,3.0,4523,8524
2019,3.0,6995,1529
2019,3.0,1529,0
2025,0.0,3787,68042
2025,0.0,1960,66082
2025,0.0,4439,61643
2025,0.0,22122,39521
2025,0.0,9717,29804
2022,3.0,10397,15377
2022,3.0,6400,8977
2022,3.0,1267,7710
2020,2.0,1372,20796
2020,2.0,20796,0
2024,1.0,46223,87524
2024,1.0,3810,83714
2024,1.0,1114,82600
2024,1.0,27271,55329
2024,1.0,13196,42133
2024,1.0,13095,29038
2023,1.0,19376,220764
2023,1.0,3518,217246
2023,1.0,46334,170912
2023,1.0,21711,149201
2023,1.0,25627,123574
2023,1.0,14217,109357
2024,0.0,25148,46127
2020,2.0,22777,173150
2020,2.0,2966,170184
2020,2.0,11555,158629
2020,2.0,32077,126552
2020,2.0,7560,118992
2020,1.0,1693,29976
2020,1.0,447,29529
2020,1.0,5794,23735
2020,1.0,8400,15335
2023,0.0,3714,13736
2023,0.0,2941,10795
2023,0.0,4080,6715
2023,0.0,5482,1233
2023,0.0,952,281
2023,0.0,281,0
2024,1.0,30996,61821
2018,4.0,3320,18848
2018,4.0,2132,16716
2018,4.0,8375,8341
2018,4.0,2800,5541
2018,4.0,2511,3030
2018,4.0,3030,0
2020,1.0,2015,14594
2020,1.0,558,14036
2020,1.0,1186,12850
2020,1.0,2366,10484
2020,1.0,1057,9427
2020,1.0,9427,0
2023,0.0,299,14349
2023,0.0,3066,11283
2023,0.0,2258,9025
2023,0.0,4258,4767
2023,0.0,4767,0
2020,3.0,102685,28217
2020,3.0,28217,0
2022,3.0,19281,82103
2022,3.0,15248,66855
2022,3.0,4155,62700
2022,3.0,5217,57483
2024,1.0,47284,264266
2024,1.0,88038,176228
2024,1.0,32545,143683
2024,1.0,87661,56022
2024,1.0,56022,0
