policy_id,claim_id,accident_date,claim_amount,vehicle_age,region,channel,sum_insured
24,1.0,2025-06-06,521910.0,9,South,Direct,579900
32,2.0,2019-10-24,92636.0,2,Central,Online,2658400
46,3.0,2024-11-12,28492.0,10,East,Agent,836800
55,4.0,2022-05-28,17377.0,5,West,Online,270800
55,5.0,2021-09-14,13725.0,5,West,Online,270800
68,6.0,2018-10-28,47386.0,4,North,Agent,341400
99,7.0,2019-10-24,20354.0,6,South,Broker,384400
108,8.0,2021-06-25,194178.0,14,East,Agent,825400
109,9.0,2023-12-02,146694.0,2,West,Broker,1071200
112,10.0,2022-04-07,23775.0,5,West,Agent,1008400
117,11.0,2019-03-07,66236.0,12,South,Agent,411800
145,12.0,2020-04-07,82003.0,4,South,Online,713100
147,13.0,2019-01-14,65246.0,14,North,Online,1063200
158,14.0,2025-01-11,41888.0,5,East,Direct,612400
175,15.0,2019-03-25,74371.0,8,East,Online,687300
177,16.0,2021-08-13,196526.0,1,South,Agent,609700
190,17.0,2025-06-11,32844.0,14,South,Online,794400
209,18.0,2021-06-23,54522.0,12,North,Bancassurance,559300
231,19.0,2023-09-04,378888.0,7,East,Agent,532100
251,20.0,2019-06-25,101074.0,11,East,Agent,702500
274,21.0,2018-10-22,49658.0,6,East,Direct,159500
283,22.0,2022-02-18,44953.0,11,South,Agent,1117300
284,23.0,2022-10-17,369186.0,15,Central,Direct,2999700
302,24.0,2020-06-14,159902.0,12,West,Online,1245900
303,25.0,2022-04-30,159590.0,1,West,Online,667900
303,26.0,2022-02-10,87713.0,1,West,Online,667900
306,27.0,2022-11-28,198627.0,13,North,Online,2935700
321,28.0,2019-12-07,13047.0,2,South,Online,403600
342,29.0,2025-03-07,71829.0,6,South,Agent,439800
360,31.0,2022-04-02,25774.0,9,South,Direct,322100
365,32.0,2020-08-11,22168.0,11,East,Online,3852600
372,33.0,2024-01-12,133747.0,4,Central,Online,510800
389,34.0,2023-10-19,240140.0,4,South,Agent,975700
390,35.0,2024-03-06,71275.0,13,North,Agent,940200
397,36.0,2020-06-13,195927.0,2,East,Agent,823000
413,37.0,2020-06-05,31669.0,9,South,Agent,502700
424,38.0,2023-02-04,17450.0,9,East,Agent,479000
427,39.0,2024-05-21,92817.0,12,North,Agent,822400
448,40.0,2018-08-18,22168.0,1,East,Agent,305800
475,41.0,2020-06-24,16609.0,8,South,Agent,88600
496,42.0,2023-03-19,14648.0,2,West,Broker,1544000
503,43.0,2020-07-10,130902.0,8,North,Broker,601400
524,44.0,2022-04-11,101384.0,13,West,Agent,847000
580,45.0,2024-03-27,311550.0,5,East,Agent,1159200
590,46.0,2023-01-22,87321.0,11,Central,Broker,1188000
596,47.0,2021-03-15,119116.0,13,East,Broker,1278800
613,48.0,2021-09-15,18375.0,12,South,Broker,1118100
617,49.0,2021-01-03,32826.0,2,South,Bancassurance,849000
645,50.0,2021-09-26,584046.0,3,West,Bancassurance,1007600
651,51.0,2023-08-28,133934.0,7,East,Agent,1881800
660,52.0,2025-04-24,220233.0,4,South,Broker,619800
671,53.0,2019-04-22,79065.0,12,North,Broker,409800
683,54.0,2025-04-30,22957.0,15,West,Bancassurance,527800
691,55.0,2022-08-17,20149.0,15,South,Bancassurance,568300
701,56.0,2023-05-12,452752.0,13,Central,Online,1840600
709,57.0,2018-12-28,364680.0,11,East,Online,405200
725,58.0,2023-10-19,56523.0,12,West,Agent,280700
728,59.0,2024-05-04,14555.0,3,East,Agent,696700
740,60.0,2019-12-09,72012.0,1,West,Agent,1108300
746,61.0,2020-12-21,49907.0,13,North,Direct,467300
760,62.0,2025-04-06,126069.0,12,Central,Bancassurance,935700
780,63.0,2021-09-19,90620.0,5,North,Online,564600
792,64.0,2024-11-24,134546.0,11,East,Agent,1332600
823,65.0,2024-01-02,246216.0,10,North,Agent,490600
824,66.0,2024-04-18,6729.0,6,Central,Bancassurance,320800
856,67.0,2021-07-06,186955.0,8,East,Agent,952900
858,68.0,2019-05-27,22617.0,3,South,Direct,609800
860,69.0,2023-07-17,30868.0,11,North,Broker,255400
874,70.0,2018-11-11,40768.0,6,North,Online,605400
886,71.0,2018-04-28,196298.0,4,North,Direct,1417300
887,72.0,2018-05-25,52396.0,11,Central,Online,1050400
889,73.0,2024-10-17,7139.0,1,North,Agent,577900
915,74.0,2022-06-10,423512.0,5,East,Direct,3671600
926,75.0,2021-02-05,32606.0,1,South,Direct,593600
