policy_id,claim_id,accident_date,claim_amount,vehicle_age,region,channel,sum_insured,predicted_severity
24,1.0,2025-06-06,521910.0,9,South,Direct,579900,84693.31318043699
32,2.0,2019-10-24,92636.0,2,Central,Online,2658400,769787.8108946639
46,3.0,2024-11-12,28492.0,10,East,Agent,836800,108910.49194822773
55,4.0,2022-05-28,17377.0,5,West,Online,270800,57707.59118289566
55,5.0,2021-09-14,13725.0,5,West,Online,270800,57707.59118289566
68,6.0,2018-10-28,47386.0,4,North,Agent,341400,64667.61862340653
99,7.0,2019-10-24,20354.0,6,South,Broker,384400,65083.597878048466
108,8.0,2021-06-25,194178.0,14,East,Agent,825400,107495.52484760617
109,9.0,2023-12-02,146694.0,2,West,Broker,1071200,134870.7755372421
112,10.0,2022-04-07,23775.0,5,West,Agent,1008400,129884.77264816962
117,11.0,2019-03-07,66236.0,12,South,Agent,411800,69043.99200916692
145,12.0,2020-04-07,82003.0,4,South,Online,713100,94253.08746938282
147,13.0,2019-01-14,65246.0,14,North,Online,1063200,138478.1486683506
158,14.0,2025-01-11,41888.0,5,East,Direct,612400,87506.29354694099
175,15.0,2019-03-25,74371.0,8,East,Online,687300,91304.4754730961
177,16.0,2021-08-13,196526.0,1,South,Agent,609700,85661.97048387148
190,17.0,2025-06-11,32844.0,14,South,Online,794400,102694.84574373934
209,18.0,2021-06-23,54522.0,12,North,Bancassurance,559300,79640.65997839469
231,19.0,2023-09-04,378888.0,7,East,Agent,532100,78440.93879225722
251,20.0,2019-06-25,101074.0,11,East,Agent,702500,94200.55680646983
274,21.0,2018-10-22,49658.0,6,East,Direct,159500,53669.75757481945
283,22.0,2022-02-18,44953.0,11,South,Agent,1117300,147843.38034144632
284,23.0,2022-10-17,369186.0,15,Central,Direct,2999700,1152382.5932380548
302,24.0,2020-06-14,159902.0,12,West,Online,1245900,165031.39160272165
303,25.0,2022-04-30,159590.0,1,West,Online,667900,88643.76818407766
303,26.0,2022-02-10,87713.0,1,West,Online,667900,88643.76818407766
306,27.0,2022-11-28,198627.0,13,North,Online,2935700,1044489.5094694613
321,28.0,2019-12-07,13047.0,2,South,Online,403600,67520.40835458649
342,29.0,2025-03-07,71829.0,6,South,Agent,439800,71244.69787707286
360,31.0,2022-04-02,25774.0,9,South,Direct,322100,64127.76582864869
365,32.0,2020-08-11,22168.0,11,East,Online,3852600,2776343.691517202
372,33.0,2024-01-12,133747.0,4,Central,Online,510800,75832.2942368387
389,34.0,2023-10-19,240140.0,4,South,Agent,975700,127069.02155090321
390,35.0,2024-03-06,71275.0,13,North,Agent,940200,123174.4487847166
397,36.0,2020-06-13,195927.0,2,East,Agent,823000,107467.69243406116
413,37.0,2020-06-05,31669.0,9,South,Agent,502700,76203.32910167934
424,38.0,2023-02-04,17450.0,9,East,Agent,479000,74044.3380853178
427,39.0,2024-05-21,92817.0,12,North,Agent,822400,108493.77950132724
448,40.0,2018-08-18,22168.0,1,East,Agent,305800,61518.607591953965
475,41.0,2020-06-24,16609.0,8,South,Agent,88600,48754.460111089305
496,42.0,2023-03-19,14648.0,2,West,Broker,1544000,224630.2001452055
503,43.0,2020-07-10,130902.0,8,North,Broker,601400,82958.78769992913
524,44.0,2022-04-11,101384.0,13,West,Agent,847000,108956.39343354547
580,45.0,2024-03-27,311550.0,5,East,Agent,1159200,154370.9256096295
590,46.0,2023-01-22,87321.0,11,Central,Broker,1188000,154869.2177839216
596,47.0,2021-03-15,119116.0,13,East,Broker,1278800,170064.37046411863
613,48.0,2021-09-15,18375.0,12,South,Broker,1118100,143473.40671663082
617,49.0,2021-01-03,32826.0,2,South,Bancassurance,849000,108107.12983220794
645,50.0,2021-09-26,584046.0,3,West,Bancassurance,1007600,126581.02863780412
651,51.0,2023-08-28,133934.0,7,East,Agent,1881800,336512.63969289215
660,52.0,2025-04-24,220233.0,4,South,Broker,619800,83935.71592823986
671,53.0,2019-04-22,79065.0,12,North,Broker,409800,67412.86526826685
683,54.0,2025-04-30,22957.0,15,West,Bancassurance,527800,75253.38284607136
691,55.0,2022-08-17,20149.0,15,South,Bancassurance,568300,79657.02108689143
701,56.0,2023-05-12,452752.0,13,Central,Online,1840600,317854.74095533945
709,57.0,2018-12-28,364680.0,11,East,Online,405200,67305.29430886568
725,58.0,2023-10-19,56523.0,12,West,Agent,280700,59152.54386512942
728,59.0,2024-05-04,14555.0,3,East,Agent,696700,93758.44797979326
740,60.0,2019-12-09,72012.0,1,West,Agent,1108300,144779.79728444063
746,61.0,2020-12-21,49907.0,13,North,Direct,467300,75617.68122369048
760,62.0,2025-04-06,126069.0,12,Central,Bancassurance,935700,118574.84442383164
780,63.0,2021-09-19,90620.0,5,North,Online,564600,81002.86996004617
792,64.0,2024-11-24,134546.0,11,East,Agent,1332600,185914.50641767625
823,65.0,2024-01-02,246216.0,10,North,Agent,490600,75874.3025824688
824,66.0,2024-04-18,6729.0,6,Central,Bancassurance,320800,61145.06817336231
856,67.0,2021-07-06,186955.0,8,East,Agent,952900,123492.88660632928
858,68.0,2019-05-27,22617.0,3,South,Direct,609800,87572.16828374853
860,69.0,2023-07-17,30868.0,11,North,Broker,255400,57079.023027599025
874,70.0,2018-11-11,40768.0,6,North,Online,605400,84632.00164625503
886,71.0,2018-04-28,196298.0,4,North,Direct,1417300,211127.52619975567
887,72.0,2018-05-25,52396.0,11,Central,Online,1050400,135555.14390739452
889,73.0,2024-10-17,7139.0,1,North,Agent,577900,83514.50517082885
915,74.0,2022-06-10,423512.0,5,East,Direct,3671600,2374410.9232374094
926,75.0,2021-02-05,32606.0,1,South,Direct,593600,86088.19580428182
930,76.0,2018-11-07,278264.0,6,East,Broker,1017900,128513.31141199359
934,77.0,2020-08-09,30640.0,3,East,Agent,261000,58592.88508337709
943,78.0,2025-07-29,120422.0,5,Central,Direct,744000,101259.83646570767
944,79.0,2021-04-17,73797.0,6,East,Online,521900,76410.95811513235
949,80.0,2025-01-01,27135.0,2,South,Agent,228000,56733.83665199958
955,81.0,2020-04-11,23015.0,12,West,Broker,261500,56189.53783839991
973,82.0,2023-12-15,61390.0,4,Central,Agent,633900,87948.75869910304
977,83.0,2021-02-11,529861.0,13,North,Broker,2221000,475742.81530780764
993,84.0,2021-08-25,75979.0,13,East,Broker,552600,77682.25753407822
994,85.0,2020-05-06,50337.0,6,East,Online,979900,125247.99238861717
1002,86.0,2018-07-08,31367.0,7,South,Agent,377600,66607.29259904924
1023,87.0,2024-05-23,20593.0,7,East,Agent,399500,67984.12086653618
1033,88.0,2021-07-30,201354.0,10,South,Agent,1169000,156355.23837335137
1044,89.0,2023-08-23,80326.0,10,Central,Agent,976100,127079.59164728678
1072,90.0,2021-07-15,13956.0,8,Central,Direct,586900,85421.73364428245
1076,91.0,2019-07-08,312451.0,11,East,Online,893800,114025.83736719881
1095,92.0,2021-11-25,19331.0,1,North,Agent,631700,88505.88740275877
1111,93.0,2023-01-18,95932.0,3,West,Bancassurance,782000,99232.57689102467
1114,94.0,2023-01-31,154392.0,14,East,Broker,992000,124777.65185929893
1114,95.0,2023-03-03,56775.0,14,East,Broker,992000,124777.65185929893
1118,96.0,2023-08-01,46618.0,3,West,Online,732600,95016.14741392128
1122,97.0,2024-08-26,33959.0,15,South,Online,573400,80891.9811765099
1132,98.0,2021-02-05,68166.0,15,South,Online,1032500,132750.4650681826
1134,99.0,2021-01-28,70521.0,13,North,Bancassurance,767200,99648.50255298962
1163,100.0,2021-10-04,43777.0,8,West,Broker,763900,96697.10202146754
1171,101.0,2020-06-22,65577.0,10,South,Agent,878300,114259.6124647823
1183,102.0,2024-03-15,120560.0,2,East,Direct,540100,80986.59292478459
1189,103.0,2025-02-10,20219.0,2,West,Agent,473800,72996.49452856222
1223,104.0,2022-04-24,24685.0,2,North,Broker,524600,76450.54974543703
1225,105.0,2024-11-30,145747.0,6,North,Direct,357100,67231.83208069073
1235,106.0,2018-12-10,11189.0,9,East,Online,420100,68422.65806337292
1272,107.0,2018-04-06,94493.0,7,North,Direct,1028900,138768.4358547788
1287,108.0,2021-01-04,29498.0,8,West,Agent,127800,50195.30515825772
1301,109.0,2022-01-29,131567.0,9,South,Agent,2067500,412312.6684210335
1319,110.0,2019-05-09,36032.0,10,Central,Agent,669200,91256.73600346097
1326,111.0,2023-04-25,80770.0,4,West,Agent,927200,119012.59263491197
1326,112.0,2023-11-11,30369.0,4,West,Agent,927200,119012.59263491197
1330,113.0,2022-04-30,74498.0,3,Central,Broker,310700,60192.74262828364
1334,114.0,2019-11-09,105534.0,4,East,Agent,1539600,232756.72882033716
1357,115.0,2025-08-27,255031.0,13,West,Direct,1619100,256302.27767718566
1358,116.0,2020-05-28,34735.0,12,East,Agent,527200,77951.5847303059
1363,117.0,2021-12-07,49067.0,3,West,Agent,271900,58696.058218022255
1367,118.0,2020-07-29,15737.0,6,East,Broker,354000,62784.13238930079
1370,119.0,2023-09-16,113664.0,8,North,Agent,646900,89847.15553278531
1371,120.0,2019-10-27,204365.0,7,West,Direct,1178800,159564.94828595105
1377,121.0,2024-07-27,58347.0,3,Central,Bancassurance,532300,76863.76928691014
1382,122.0,2019-03-25,12743.0,8,West,Agent,697000,92765.32174199646
1385,123.0,2018-04-16,113414.0,7,South,Agent,865600,112770.28254336114
1389,124.0,2020-02-15,278932.0,8,Central,Direct,981600,130774.06893237622
1390,125.0,2023-08-23,94801.0,11,South,Direct,396100,69430.96844816515
1390,126.0,2023-09-07,108029.0,11,South,Direct,396100,69430.96844816515
1403,127.0,2023-08-28,25205.0,8,North,Agent,437600,71684.95722721131
1448,128.0,2023-08-02,147693.0,13,East,Online,611500,84052.58224527475
1472,129.0,2024-01-01,136067.0,2,West,Agent,392900,66894.88529039102
1479,130.0,2022-04-25,192048.0,3,South,Direct,816800,109487.52620779305
1498,131.0,2019-05-28,287097.0,1,West,Agent,1816400,310826.4346991228
1501,132.0,2020-08-07,68903.0,15,North,Agent,1238900,169949.68315716993
1506,133.0,2018-05-15,9657.0,8,South,Bancassurance,567900,79730.97061220747
1515,134.0,2021-12-11,14361.0,14,West,Bancassurance,582500,79844.0127885035
1538,135.0,2022-10-01,8332.0,13,South,Agent,148100,51936.63896445814
1539,136.0,2021-09-22,45603.0,5,East,Direct,482700,76078.66951973556
1545,137.0,2021-02-04,97920.0,14,East,Online,1080000,139316.3402670824
1548,138.0,2019-03-13,129796.0,2,West,Agent,1707000,276165.636102049
1556,139.0,2022-04-26,44664.0,2,South,Direct,1052200,141174.2673692086
1563,140.0,2018-03-28,347116.0,10,North,Online,786200,102782.37679348484
1609,141.0,2019-09-25,153267.0,7,East,Agent,655600,89621.8475331333
1611,142.0,2019-12-01,57238.0,4,North,Agent,666400,91828.8747646017
1619,143.0,2020-09-28,21228.0,15,South,Online,271100,58378.1214695308
1621,144.0,2025-02-16,426442.0,2,West,Agent,1124900,147367.67930337487
1621,145.0,2025-01-05,225529.0,2,West,Agent,1124900,147367.67930337487
1622,146.0,2024-06-18,40330.0,7,West,Direct,882900,115952.77006478234
1623,147.0,2020-02-10,410632.0,3,North,Agent,632600,88557.46992964354
1672,148.0,2019-09-07,135224.0,14,West,Agent,1241800,166789.41567640798
1676,149.0,2024-02-15,171324.0,0,North,Direct,1032200,139452.87534921587
1738,150.0,2020-11-28,218497.0,11,East,Direct,1388800,201998.4440507833
1740,151.0,2021-06-28,68529.0,7,South,Agent,611500,85728.54361100901
1770,152.0,2018-10-06,58424.0,6,East,Online,1148300,150204.0569976608
1771,153.0,2021-06-09,799380.0,7,West,Agent,888200,114041.9904923266
1790,154.0,2019-05-14,203497.0,14,North,Broker,823000,105243.74660051713
1815,155.0,2020-01-29,77358.0,6,West,Agent,593900,83031.42953535261
1820,156.0,2020-12-06,72750.0,10,Central,Direct,587000,85397.7733506579
1830,157.0,2019-07-17,133437.0,14,West,Agent,1060900,137214.5600834907
1834,158.0,2018-05-26,25518.0,10,West,Broker,561700,77713.32063585203
1862,159.0,2020-12-05,48275.0,8,East,Bancassurance,487000,72835.23066835529
1911,160.0,2018-10-02,67880.0,12,North,Online,715700,95216.94172064203
1913,162.0,2025-01-31,183451.0,9,North,Broker,494100,73875.10830436484
1913,161.0,2024-05-31,61390.0,9,North,Broker,494100,73875.10830436484
1925,163.0,2019-03-30,51137.0,3,West,Agent,504700,75456.58573462725
1931,164.0,2024-03-13,163809.0,2,North,Broker,1186400,156133.02953372814
1934,165.0,2022-11-10,12344.0,15,East,Bancassurance,401100,66297.78547220926
1934,166.0,2022-10-17,65307.0,15,East,Bancassurance,401100,66297.78547220926
1942,167.0,2023-03-19,729211.0,2,Central,Bancassurance,2447200,606893.9547492578
1956,168.0,2023-06-05,40806.0,3,North,Broker,849700,108551.42263043871
1983,169.0,2022-12-08,294335.0,15,Central,Broker,1362200,186748.20730229572
1994,170.0,2025-05-25,67432.0,5,West,Agent,397600,67195.8196306271
2019,172.0,2021-01-14,24550.0,8,South,Agent,674400,91730.8747235047
2033,173.0,2021-03-03,102904.0,3,North,Agent,766800,102355.27851521276
2046,175.0,2024-01-01,85182.0,0,East,Agent,1117900,147786.37365592664
2046,174.0,2023-12-26,255141.0,0,East,Agent,1117900,147786.37365592664
2053,176.0,2019-09-12,63339.0,5,North,Broker,1325800,181369.17143813844
2071,177.0,2023-05-28,20094.0,6,East,Broker,580600,80173.86867149931
2074,178.0,2020-03-22,104595.0,9,West,Agent,692300,92278.15999703272
2092,179.0,2021-04-29,92943.0,14,South,Agent,373700,66237.4867671352
2121,180.0,2024-12-15,88986.0,1,East,Broker,440000,68955.75865305772
2131,181.0,2019-11-15,2795.0,3,Central,Agent,465400,73342.60172511928
2137,182.0,2022-12-15,3906.0,7,Central,Online,300500,60402.68740809772
2142,183.0,2020-05-25,5182.0,14,North,Direct,322500,64667.62185493974
2149,184.0,2020-10-05,80868.0,9,West,Bancassurance,1604700,240801.29226517715
2159,185.0,2021-06-02,90025.0,10,South,Online,503600,75096.46345333003
2160,186.0,2022-02-22,13222.0,11,South,Direct,367800,67342.9395927736
2231,187.0,2021-06-09,17701.0,10,South,Broker,417600,67404.89247724692
2233,188.0,2019-02-21,129368.0,10,Central,Broker,1144000,147717.3147304797
2244,189.0,2025-05-31,49638.0,11,East,Online,771900,99972.81191340827
2270,191.0,2019-08-25,55384.0,15,East,Online,814700,104616.51719509836
2286,192.0,2024-11-02,424265.0,0,North,Online,1968900,368948.59473448165
2287,193.0,2019-12-31,15603.0,2,South,Online,370400,65144.50768798161
2319,194.0,2019-02-12,13896.0,8,North,Online,387500,66874.37347515958
2357,195.0,2023-12-22,780030.0,0,North,Agent,866700,114071.09839527248
2362,196.0,2022-05-19,93495.0,8,South,Broker,626300,84460.81354111411
2375,197.0,2024-04-05,67659.0,7,West,Broker,490100,71977.59319610495
2386,198.0,2022-08-13,109198.0,9,North,Agent,817600,107996.24043131837
2404,199.0,2021-07-10,76503.0,4,West,Broker,1218900,158110.31258202394
2410,200.0,2018-09-20,11310.0,15,Central,Online,159000,51769.70886221218
2431,201.0,2023-06-10,93958.0,1,West,Agent,1208300,161275.0415464732
2434,202.0,2021-03-09,59311.0,1,East,Online,764400,99359.85164414303
2441,203.0,2021-05-25,75891.0,8,Central,Online,496600,74621.29859260155
2443,204.0,2024-08-01,389375.0,3,North,Broker,984100,125491.49176182105
2459,205.0,2021-08-28,31679.0,15,East,Direct,413100,70437.74440759514
2467,206.0,2023-05-10,60572.0,0,South,Online,883400,113353.3048551073
2473,207.0,2020-05-10,14695.0,11,North,Online,650500,88765.94433019568
2475,208.0,2018-11-28,23909.0,6,West,Agent,424000,69123.9802346493
2477,209.0,2021-06-21,107906.0,10,East,Agent,457000,72293.37245137156
2478,210.0,2024-11-20,32087.0,10,South,Agent,568700,81811.93582030704
2481,211.0,2024-06-26,58128.0,5,West,Online,646700,86571.84488716864
2486,212.0,2024-12-29,446956.0,12,West,Agent,3203800,1385844.9701888217
2488,213.0,2021-07-12,198798.0,12,South,Agent,974300,126680.24181304024
2493,214.0,2021-08-15,73065.0,6,South,Agent,371500,66183.19313945319
2493,215.0,2021-04-25,80432.0,6,South,Agent,371500,66183.19313945319
2499,216.0,2019-05-05,93382.0,5,South,Agent,683300,92669.9744957998
2504,217.0,2025-10-06,150830.0,1,South,Agent,1120400,148627.09373663765
2509,218.0,2022-08-23,124447.0,1,East,Direct,722200,98588.91234397012
2517,219.0,2021-06-05,253902.0,6,West,Agent,1373300,192514.349506969
2519,220.0,2023-11-14,22379.0,10,South,Agent,181000,53844.773871516416
2526,221.0,2021-06-02,447787.0,14,South,Direct,1180800,161809.61015897122
2540,222.0,2021-10-18,173775.0,11,West,Broker,766400,96901.81209669798
2568,223.0,2024-08-17,72941.0,12,East,Agent,1051500,137248.53739436227
2614,224.0,2025-08-31,204322.0,13,East,Agent,860800,111702.49851214793
2630,225.0,2021-10-21,282328.0,11,West,Agent,527800,77240.81575211478
2636,226.0,2023-12-03,84274.0,0,South,Agent,1012300,132290.15918002787
2639,227.0,2021-10-19,604080.0,4,East,Broker,671200,88441.47302014862
2639,228.0,2021-09-08,63418.0,4,East,Broker,671200,88441.47302014862
2640,229.0,2024-07-30,75037.0,4,West,Online,761700,98027.76416332164
2660,230.0,2021-08-21,379192.0,10,South,Broker,464200,70880.66878641816
2676,231.0,2021-12-14,51172.0,3,Central,Bancassurance,487300,73220.89593178836
2705,232.0,2019-03-05,225625.0,9,South,Agent,1123100,148829.29025588758
2708,233.0,2018-09-06,42161.0,2,North,Bancassurance,1126200,147103.5358685197
2736,234.0,2022-07-20,40806.0,8,West,Agent,694200,92485.48910493897
2743,235.0,2023-08-31,16222.0,6,East,Bancassurance,246000,56179.714205591474
2747,236.0,2019-10-06,86762.0,11,East,Agent,790600,103594.43437392962
2765,237.0,2019-06-08,98490.0,15,South,Online,706600,93394.6339296744
2778,238.0,2022-08-21,55255.0,8,East,Agent,836700,108941.0492714869
2785,239.0,2023-11-04,274966.0,4,West,Online,1515700,221140.07471135264
2822,241.0,2025-08-18,216791.0,15,East,Broker,1277900,169833.32395855748
2822,240.0,2024-11-27,68574.0,15,East,Broker,1277900,169833.32395855748
2823,242.0,2018-05-18,485663.0,12,West,Broker,1894900,327381.1003168778
2845,244.0,2023-01-09,166239.0,15,South,Agent,473900,73785.73635291007
2845,243.0,2022-11-12,9427.0,15,South,Agent,473900,73785.73635291007
2882,245.0,2023-11-24,264817.0,14,West,Agent,785200,101908.2603787778
2883,246.0,2019-12-02,22978.0,3,South,Agent,703200,94718.04319735078
2890,247.0,2019-04-01,4171.0,11,South,Broker,524600,75639.1109722307
2902,248.0,2025-05-05,56188.0,10,West,Agent,634900,86719.62671184196
2913,249.0,2025-07-01,92291.0,15,West,Online,588000,81101.12089367563
2920,250.0,2023-06-29,69139.0,1,West,Agent,607900,84377.088618894
2934,251.0,2024-04-16,78951.0,7,North,Agent,1190200,161500.8093239417
2963,252.0,2022-12-02,28058.0,13,North,Agent,366500,66326.85533386409
2965,253.0,2023-09-25,10455.0,0,West,Agent,502400,75313.43028281695
2975,254.0,2020-02-03,104927.0,10,Central,Agent,728700,97307.46398471689
