policy_id,claim_id,accident_date,accident_year,development_year,claim_amount,claim_status,,,,,,,,,,,,,,
24,1,06-06-2025,2025,0,521910,Open,,,,,,,,,,,,,,
32,2,24-10-2019,2019,1,92636,Closed,,,,,,,,,,,,,,
46,3,12-11-2024,2024,1,28492,Closed,,,,,,,,,,,,,,
55,4,28-05-2022,2022,3,17377,Open,,,,,,,,,,,,,,
55,5,14-09-2021,2021,0,13725,Closed,,,,,,,,,,,,,,
68,6,28-10-2018,2018,5,47386,Closed,,,,,,,,,,,,,,
99,7,24-10-2019,2019,5,20354,Closed,,,,,,,,,,,,,,
108,8,25-06-2021,2021,2,194178,Closed,,,,,,,,,,,,,,
109,9,02-12-2023,2023,2,146694,Closed,,,,,,,,,,,,,,
112,10,07-04-2022,2022,2,23775,Closed,,,,,,,,,,,,,,
117,11,07-03-2019,2019,3,66236,Closed,,,,,,,,,,,,,,
145,12,07-04-2020,2020,4,82003,Closed,,,,,,,,,,,,,,
147,13,14-01-2019,2019,5,65246,Open,,,,,,,,,,,,,,
158,14,11-01-2025,2025,0,41888,Open,,,,,,,,,,,,,,
175,15,25-03-2019,2019,2,74371,Closed,,,,,,,,,,,,,,
177,16,13-08-2021,2021,2,196526,Open,,,,,,,,,,,,,,
190,17,11-06-2025,2025,0,32844,Open,,,,,,,,,,,,,,
209,18,23-06-2021,2021,2,54522,Open,,,,,,,,,,,,,,
231,19,04-09-2023,2023,1,378888,Open,,,,,,,,,,,,,,
251,20,25-06-2019,2019,2,101074,Closed,,,,,,,,,,,,,,
274,21,22-10-2018,2018,0,49658,Closed,,,,,,,,,,,,,,
283,22,18-02-2022,2022,0,44953,Open,,,,,,,,,,,,,,
284,23,17-10-2022,2022,0,369186,Closed,,,,,,,,,,,,,,
302,24,14-06-2020,2020,5,159902,Closed,,,,,,,,,,,,,,
303,25,30-04-2022,2022,3,159590,Open,,,,,,,,,,,,,,
303,26,10-02-2022,2022,3,87713,Closed,,,,,,,,,,,,,,
306,27,28-11-2022,2022,2,198627,Open,,,,,,,,,,,,,,
321,28,07-12-2019,2019,3,13047,Closed,,,,,,,,,,,,,,
342,29,07-03-2025,2025,0,71829,Open,,,,,,,,,,,,,,
344,30,01-01-2019,2019,1,145246,Closed,,,,,,,,,,,,,,
360,31,02-04-2022,2022,3,25774,Open,,,,,,,,,,,,,,
365,32,11-08-2020,2020,2,22168,Closed,,,,,,,,,,,,,,
372,33,12-01-2024,2024,1,133747,Open,,,,,,,,,,,,,,
389,34,19-10-2023,2023,1,240140,Open,,,,,,,,,,,,,,
390,35,06-03-2024,2024,0,71275,Open,,,,,,,,,,,,,,
397,36,13-06-2020,2020,2,195927,Open,,,,,,,,,,,,,,
413,37,05-06-2020,2020,1,31669,Open,,,,,,,,,,,,,,
424,38,04-02-2023,2023,0,17450,Closed,,,,,,,,,,,,,,
427,39,21-05-2024,2024,1,92817,Open,,,,,,,,,,,,,,
448,40,18-08-2018,2018,4,22168,Closed,,,,,,,,,,,,,,
475,41,24-06-2020,2020,1,16609,Closed,,,,,,,,,,,,,,
496,42,19-03-2023,2023,0,14648,Closed,,,,,,,,,,,,,,
503,43,10-07-2020,2020,3,130902,Closed,,,,,,,,,,,,,,
524,44,11-04-2022,2022,3,101384,Open,,,,,,,,,,,,,,
580,45,27-03-2024,2024,1,311550,Closed,,,,,,,,,,,,,,
590,46,22-01-2023,2023,1,87321,Open,,,,,,,,,,,,,,
596,47,15-03-2021,2021,2,119116,Closed,,,,,,,,,,,,,,
613,48,15-09-2021,2021,3,18375,Closed,,,,,,,,,,,,,,
617,49,03-01-2021,2021,3,32826,Closed,,,,,,,,,,,,,,
645,50,26-09-2021,2021,1,584046,Open,,,,,,,,,,,,,,
651,51,28-08-2023,2023,1,133934,Open,,,,,,,,,,,,,,
660,52,24-04-2025,2025,0,220233,Closed,,,,,,,,,,,,,,
671,53,22-04-2019,2019,6,79065,Closed,,,,,,,,,,,,,,
683,54,30-04-2025,2025,0,22957,Closed,,,,,,,,,,,,,,
691,55,17-08-2022,2022,2,20149,Open,,,,,,,,,,,,,,
701,56,12-05-2023,2023,1,452752,Open,,,,,,,,,,,,,,
709,57,28-12-2018,2018,3,364680,Closed,,,,,,,,,,,,,,
725,58,19-10-2023,2023,0,56523,Closed,,,,,,,,,,,,,,
728,59,04-05-2024,2024,1,14555,Open,,,,,,,,,,,,,,
740,60,09-12-2019,2019,1,72012,Open,,,,,,,,,,,,,,
746,61,21-12-2020,2020,1,49907,Closed,,,,,,,,,,,,,,
760,62,06-04-2025,2025,0,126069,Open,,,,,,,,,,,,,,
780,63,19-09-2021,2021,4,90620,Closed,,,,,,,,,,,,,,
792,64,24-11-2024,2024,0,134546,Open,,,,,,,,,,,,,,
823,65,02-01-2024,2024,1,246216,Open,,,,,,,,,,,,,,
824,66,18-04-2024,2024,1,6729,Open,,,,,,,,,,,,,,
856,67,06-07-2021,2021,3,186955,Closed,,,,,,,,,,,,,,
858,68,27-05-2019,2019,3,22617,Closed,,,,,,,,,,,,,,
860,69,17-07-2023,2023,2,30868,Open,,,,,,,,,,,,,,
874,70,11-11-2018,2018,5,40768,Closed,,,,,,,,,,,,,,
886,71,28-04-2018,2018,1,196298,Open,,,,,,,,,,,,,,
887,72,25-05-2018,2018,2,52396,Closed,,,,,,,,,,,,,,
889,73,17-10-2024,2024,0,7139,Closed,,,,,,,,,,,,,,
915,74,10-06-2022,2022,3,423512,Open,,,,,,,,,,,,,,
926,75,05-02-2021,2021,3,32606,Closed,,,,,,,,,,,,,,
930,76,07-11-2018,2018,3,278264,Closed,,,,,,,,,,,,,,
934,77,09-08-2020,2020,1,30640,Open,,,,,,,,,,,,,,
943,78,29-07-2025,2025,0,120422,Closed,,,,,,,,,,,,,,
944,79,17-04-2021,2021,0,73797,Closed,,,,,,,,,,,,,,
949,80,01-01-2025,2025,0,27135,Closed,,,,,,,,,,,,,,
955,81,11-04-2020,2020,0,23015,Open,,,,,,,,,,,,,,
973,82,15-12-2023,2023,1,61390,Open,,,,,,,,,,,,,,
977,83,11-02-2021,2021,3,529861,Closed,,,,,,,,,,,,,,
993,84,25-08-2021,2021,2,75979,Closed,,,,,,,,,,,,,,
994,85,06-05-2020,2020,4,50337,Closed,,,,,,,,,,,,,,
1002,86,08-07-2018,2018,6,31367,Closed,,,,,,,,,,,,,,
1023,87,23-05-2024,2024,1,20593,Closed,,,,,,,,,,,,,,
1033,88,30-07-2021,2021,2,201354,Open,,,,,,,,,,,,,,
1044,89,23-08-2023,2023,0,80326,Open,,,,,,,,,,,,,,
1072,90,15-07-2021,2021,4,13956,Closed,,,,,,,,,,,,,,
1076,91,08-07-2019,2019,3,312451,Closed,,,,,,,,,,,,,,
1095,92,25-11-2021,2021,2,19331,Closed,,,,,,,,,,,,,,
1111,93,18-01-2023,2023,2,95932,Closed,,,,,,,,,,,,,,
1114,94,31-01-2023,2023,1,154392,Open,,,,,,,,,,,,,,
1114,95,03-03-2023,2023,0,56775,Open,,,,,,,,,,,,,,
1118,96,01-08-2023,2023,2,46618,Open,,,,,,,,,,,,,,
1122,97,26-08-2024,2024,1,33959,Open,,,,,,,,,,,,,,
1132,98,05-02-2021,2021,0,68166,Closed,,,,,,,,,,,,,,
1134,99,28-01-2021,2021,4,70521,Closed,,,,,,,,,,,,,,
1163,100,04-10-2021,2021,1,43777,Open,,,,,,,,,,,,,,
1171,101,22-06-2020,2020,5,65577,Closed,,,,,,,,,,,,,,
1183,102,15-03-2024,2024,1,120560,Open,,,,,,,,,,,,,,
1189,103,10-02-2025,2025,0,20219,Open,,,,,,,,,,,,,,
1223,104,24-04-2022,2022,0,24685,Closed,,,,,,,,,,,,,,
1225,105,30-11-2024,2024,0,145747,Open,,,,,,,,,,,,,,
1235,106,10-12-2018,2018,6,11189,Open,,,,,,,,,,,,,,
1272,107,06-04-2018,2018,3,94493,Closed,,,,,,,,,,,,,,
1287,108,04-01-2021,2021,0,29498,Closed,,,,,,,,,,,,,,
